User country,Score,Traveler type,Pool,Gym,Tennis court,Spa,Casino,Free internet,Name,Stars,Rooms
Ireland,3,Couples,YES,YES,YES,NO,NO,YES,Wyndham,3,5
UK,4,Couples,YES,YES,YES,NO,NO,YES,Wyndham,3,5
Japan,3,Families,YES,YES,YES,NO,NO,YES,Wyndham,3,5
USA,4,Families,YES,YES,YES,NO,NO,YES,Wyndham,3,5
USA,4,Families,YES,YES,YES,NO,NO,YES,Wyndham,3,5
Canada,5,Friends,YES,YES,YES,NO,NO,YES,Wyndham,3,5
Ireland,4,Business,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
USA,5,Solo,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
USA,4,Families,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
Mexico,5,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
USA,3,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
USA,5,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
Israel,5,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
Australia,4,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
Australia,4,Families,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
UK,5,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
USA,5,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
USA,5,Business,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
Australia,4,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
UK,4,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
Canada,5,Families,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
UK,5,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
UK,5,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
UK,5,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
Brazil,5,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
UK,4,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
Switzerland,5,Friends,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
Australia,5,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
Singapore,5,Families,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
USA,4,Couples,YES,YES,NO,YES,YES,YES,The Venetian,5,4027
Australia,4,Solo,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
USA,5,Families,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
USA,4,Couples,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
USA,5,Business,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
India,5,Couples,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
USA,2,Business,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
Ireland,5,Business,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
Spain,2,Families,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
UK,3,Friends,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
UK,5,Couples,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
UK,5,Families,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
USA,4,Business,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
USA,5,Couples,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
Korea,4,Families,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
USA,4,Solo,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
Scotland,5,Families,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
Ireland,5,Couples,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
USA,4,Business,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
UK,4,Couples,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
UK,5,Friends,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
Canada,5,Friends,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
India,4,Business,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
Malaysia,2,Families,YES,YES,NO,YES,YES,YES,Bellagio,5,3933
USA,4,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
Canada,5,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
USA,2,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
USA,4,Friends,YES,YES,NO,YES,YES,YES,Paris,4,2916
Canada,3,Friends,YES,YES,NO,YES,YES,YES,Paris,4,2916
USA,5,Friends,YES,YES,NO,YES,YES,YES,Paris,4,2916
USA,3,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
Australia,5,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
Costa Rica,3,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
USA,4,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
UK,4,Families,YES,YES,NO,YES,YES,YES,Paris,4,2916
Egypt,5,Families,YES,YES,NO,YES,YES,YES,Paris,4,2916
USA,5,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
USA,4,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
Canada,5,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
Canada,2,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
USA,5,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
USA,4,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
USA,5,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
Canada,5,Couples,YES,YES,NO,YES,YES,YES,Paris,4,2916
USA,4,Friends,YES,YES,NO,YES,YES,YES,Paris,4,2916
Canada,4,Couples,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,3,Families,YES,YES,NO,YES,YES,YES,The Westin,4,826
Italy,4,Solo,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,3,Couples,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,5,Business,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,5,Friends,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,4,Business,YES,YES,NO,YES,YES,YES,The Westin,4,826
Egypt,4,Solo,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,3,Friends,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,4,Couples,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,4,Solo,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,3,Business,YES,YES,NO,YES,YES,YES,The Westin,4,826
India,4,Families,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,5,Couples,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,a,Families,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,4,Couples,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,5,Solo,YES,YES,NO,YES,YES,YES,The Westin,4,826
USA,3,Couples,YES,YES,NO,YES,YES,YES,The Westin,s,826
UK,5,Couples,YES,YES,NO,YES,YES,YES,The Westin,4,826
UK,5,Couples,YES,YES,NO,YES,YES,YES,The Westin,4,826
Canada,4,Couples,YES,YES,NO,na,YES,YES,The Westin,4,826
